base_step_scale,fov_schedule,ks,ks_from_visibility,ks_mode,ks_transition_deg,max_step_deg,min_step_deg,step_norm_mode,trajectory_jacobian_step,visibility_alpha_deg,te,re,vis_improvement
1.0280865411606512,"90,60,30, 15",20.0,False,const20,,1.547139806667178,0.14127006904821554,jacobian,0.19363376085771794,,0.3633958693540638,7.089148295850573,
2.646517313465749,"30, 15",40.93328581559948,True,map,15.9,3.2991891623349163,0.772332449600516,points,0.11972876022941982,15.0,0.34840029045260185,6.590695258848875,
1.3976493294079972,"45,30,15",15.0,False,const15,,2.8353459203235545,1.8927877695926916,jacobian,0.0785095577327235,,0.3391154658081998,6.355236786978983,
0.9392343556549272,"180,90,30,15",71.0,False,const71,,2.307101157748654,1.0169193222082509,points,0.151623003817278,,0.3686755436641483,7.080134346521675,
2.838707953381982,15,20.0,False,const20,,3.151054050584854,1.3336489252500912,points,0.19559939213536065,,0.3611047846217828,6.864420160923828,
2.685851828077604,"60,30,15",40.93328581559948,True,map,15.9,3.7726608478679777,1.7865832084487578,points,0.14401006092828145,15.0,0.33532824462945665,6.279472114164138,
2.261205880997631,"60,30,15",40.93328581559948,True,map,15.9,3.776944229112666,1.8992533473624365,points,0.051596375028541586,15.0,0.34509202540911205,6.37900658388821,
2.6335766993717584,"60,30,15",40.93328581559948,True,map,15.9,3.8444368203360186,1.6228885816887892,points,0.08743510306501195,15.0,0.33862015058763745,6.216198966047146,
2.4235050902374105,"60,30,15",40.93328581559948,True,map,15.9,3.4850410995088015,1.1769235731711034,points,0.07557496899185068,15.0,0.3426194468401417,6.335233988387807,
2.5471606695763693,"60,30,15",40.93328581559948,True,map,15.9,3.947508440478623,1.746624718141867,points,0.09426060345934995,15.0,0.33172964832045554,6.1338382783752285,
2.875996405674359,"30, 15",40.93328581559948,True,map,15.9,3.927793203302544,1.7329474606876594,jacobian,0.11373316447785864,15.0,0.3570754493624135,6.803421207202353,
2.4549830302307813,"60,30,15",40.93328581559948,True,map,15.9,3.9982201629859153,1.4088901608540183,points,0.1694486046559198,15.0,0.3299273035063732,6.159242934716671,
2.2167916065462667,"60,30,15",40.93328581559948,True,map,15.9,3.994069435440677,1.4022250697901735,points,0.2649501561712198,15.0,0.3499847799456654,6.484127841961564,
2.035565456849308,"60,30,15",40.93328581559948,True,map,15.9,3.6751477530096897,1.5833392682168892,points,0.2153912594770306,15.0,0.3435212008733663,6.3366694510583494,
2.4730265723240885,"60,30,15",40.93328581559948,True,map,15.9,3.5627427113688124,1.7652768351418342,points,0.16599851422813167,15.0,0.34589912787006016,6.317061736883673,
2.355536110296158,"60,30,15",40.93328581559948,True,map,15.9,3.8938742464091414,1.929113182867712,points,0.1242000485247068,15.0,0.34580642022703156,6.283013716934844,
2.596549505651573,"60,30,15",40.93328581559948,True,map,15.9,3.6824251770500838,1.2579090724542659,points,0.06598203423417584,15.0,0.3344166605735243,6.210879375531641,
2.7474280056996094,"60,30,15",71.0,False,const71,,3.996993083039172,1.6229935108497695,points,0.09836226278253765,,0.37139120677278076,7.202887012313148,
2.9302307155550618,15,15.0,False,const15,,3.5570074941567253,1.4674295398127613,points,0.18501183737334168,,0.34508840601664226,6.536915867669353,
1.6831693780524248,"60,30,15",40.93328581559948,True,map,15.9,3.8452553247984764,1.9481739442976782,points,0.06660732145456269,15.0,0.3397998672421577,6.268267713661054,
0.587692978000218,"30, 15",40.93328581559948,True,map,15.9,3.3504172425424974,0.6299665237383604,points,0.12950456743445193,15.0,0.35022849012189305,6.698309191576808,
1.496899294533455,"180,90,30,15",20.0,False,const20,,3.0820975389052467,1.799255134189744,jacobian,0.42201822071106965,,0.3455731214138091,6.601423011043868,
2.5342727982818665,"60,30,15",40.93328581559948,True,map,15.9,2.8823220031874186,1.7092194405284737,points,0.3362391223904906,15.0,0.3479379197135479,6.539656404318988,
2.8616414935681447,"45,30,15",40.93328581559948,True,map,15.9,3.6803477931256974,1.4358373270603295,points,0.09010972196319367,15.0,0.34312119686989895,6.386861271721599,
2.695902789744211,"90,60,30, 15",71.0,False,const71,,2.711240450887982,1.8383551257780817,points,0.11278855125269521,,0.37654837206165265,7.231906545900212,
2.5572271176655783,"60,30,15",40.93328581559948,True,map,15.9,3.683050830770208,1.2569025887759595,points,0.06919200587794781,15.0,0.342642849534267,6.265789149846927,
2.360342877296495,"60,30,15",40.93328581559948,True,map,15.9,3.605808391915624,1.1901081385770338,points,0.0643310849829838,15.0,0.34859629689642413,6.255292417600206,
2.599903124052401,"60,30,15",40.93328581559948,True,map,15.9,3.254113612647098,1.0450727266291902,points,0.056998940277040167,15.0,0.3363773756375819,6.24054266777131,
2.9245222086158686,"60,30,15",40.93328581559948,True,map,15.9,3.9148903090407865,1.5312624175562104,points,0.10163263315286722,15.0,0.3386343755977739,6.307859150494081,
2.7657399517653207,"60,30,15",40.93328581559948,True,map,15.9,3.4694309075344787,1.238190031295159,points,0.08282163838937291,15.0,0.33656434771629296,6.145061520821981,
2.7322478366800595,"60,30,15",15.0,False,const15,,3.4479213903355728,1.3949350231924027,jacobian,0.0852023382427322,,0.3422674696454729,6.325365646515939,
2.4580816406258656,"90,60,30, 15",40.93328581559948,True,map,15.9,2.4295186524581727,1.6222548145027795,points,0.15796492545912774,15.0,0.35305283191488523,6.593343910032773,
2.0106384425091672,"60,30,15",20.0,False,const20,,2.018519287022429,1.112993848028842,points,0.13175394505989677,,0.3505599589520724,6.69945085361293,
2.796301306836935,"60,30,15",40.93328581559948,True,map,15.9,2.9180045610122542,1.9524882782454793,jacobian,0.11026367126293152,15.0,0.3418880968917424,6.344764974505545,
2.974469628163885,"45,30,15",40.93328581559948,True,map,15.9,3.803252534085936,1.2699786261692307,points,0.3724691631715436,15.0,0.35303171326073995,6.802529103319606,
2.5790464447354404,"60,30,15",40.93328581559948,True,map,15.9,3.3629115897017403,1.2364749147930414,points,0.08523493819055027,15.0,0.3396387351045834,6.283580814978057,
2.771808312159257,"60,30,15",40.93328581559948,True,map,15.9,3.5305888252370425,1.108381584263184,points,0.06674998215868776,15.0,0.3405373537359955,6.15100677183472,
2.7901385098230405,"60,30,15",40.93328581559948,True,map,15.9,3.510312457290335,0.9488651206086648,points,0.10340143355180045,15.0,,,
1.0,"90,60,30, 15",40.93328581559948,True,map,15.9,1.5,0.3,jacobian,0.1,15.0,0.35707212409516814,6.887139928960345,
2.789859319489402,"60,30,15",40.93328581559948,True,map,15.9,3.5429788133874314,0.9184236146983107,points,0.054995826364593395,15.0,0.3418214919059299,6.236775286914925,
2.9072253820348046,15,20.0,False,const20,,3.419458279319253,1.009621943314377,points,0.14756235159057643,,0.35821348334610986,6.727707376227588,
2.7032408041603646,"180,90,30,15",40.93328581559948,True,map,15.9,3.7764558695838932,0.752868446087997,points,0.07683716177941391,15.0,0.3474659278369415,6.546274995495571,
0.8745561561803183,"60,30,15",40.93328581559948,True,map,15.9,3.2223947853620563,1.1242203500120516,points,0.11757526665380202,15.0,0.34556898231953803,6.412359288822385,
0.24041910867501382,"60,30,15",40.93328581559948,True,map,15.9,3.9259060132854593,0.8188115391939246,points,0.09741020075767258,15.0,0.34806850123627003,6.476694980260544,
2.489174335580859,"30, 15",71.0,False,const71,,3.7252422626014017,0.49121692576629483,points,0.13223221726618145,,0.3693981868391343,7.086130346101133,
2.9971094832229754,"60,30,15",15.0,False,const15,,3.5111168078703554,1.319441587298573,points,0.17864423845796595,,0.339031701033369,6.20804272518738,
2.651671569751714,"60,30,15",40.93328581559948,True,map,15.9,3.627201177604494,1.1967372064601223,points,0.06562731572117193,15.0,0.336994628098018,6.138699873763502,
2.658869894924162,"60,30,15",40.93328581559948,True,map,15.9,3.636256396166812,1.0821195681633995,points,0.06061565533682862,15.0,0.3445987958683377,6.2653534624490295,
2.8237484682364564,"60,30,15",40.93328581559948,True,map,15.9,3.829722779501808,0.21212038650735188,points,0.08198454483847907,15.0,0.3326991267486229,6.222589832103207,
2.7563345397609567,"60,30,15",40.93328581559948,True,map,15.9,3.6142649358261667,1.2165630843836854,points,0.050253647370626944,15.0,0.35310363606079187,6.491085781186879,
